row,contract_status,level,category,contract_code,contract_name,planning_code,planning_name,dev_rr,zerost_rr,opinion,client_feedback,extra_opinion,extracted_codes
898,,2,[기획] D06-시설관리,,,FAC-06-06,QR 반납,,,,,,FAC-06-06
899,,2,[기획] D06-시설관리,,,FAC-06-07,상태 변경,,,,,,FAC-06-07
900,,2,[기획] D06-시설관리,,,FAC-06-08,운동복 등록,,,,,,FAC-06-08
901,,2,[기획] D06-시설관리,,,FAC-06-09,엑셀 다운로드,,,,,,FAC-06-09
902,,1,[기획] D09-설정관리,,,IoT-02,IoT 출입 관리 (출입 장치 + 방식 + 알림),"Z: 관리 기능 개발
P: API 제공",,,,,IOT-02
903,,2,[기획] D09-설정관리,,,IoT-02-01,연결 기기 현황,,,,,,IOT-02-01
904,,2,[기획] D09-설정관리,,,IoT-02-02,새 기기 등록,,,,,,IOT-02-02
905,,2,[기획] D09-설정관리,,,IoT-02-03,출입 방식 설정,,,,,,IOT-02-03
906,,2,[기획] D09-설정관리,,,IoT-02-04,출입 알림,,,,,,IOT-02-04
907,,2,[기획] D09-설정관리,,,IoT-02-05,저장,,,,,,IOT-02-05
908,,2,[기획] D09-설정관리,,,IoT-02-06,출입 이력 조회,,,,,,IOT-02-06
909,,2,[기획] D09-설정관리,,,IoT-02-07,저장·연결 테스트,,,,,,IOT-02-07
910,,2,[기획] D09-설정관리,,,IoT-02-08,외부 연동,,,,,,IOT-02-08
911,,1,[기획] D10-본사관리,,,HQ-11,벤치마크 비교,,,,,,HQ-11
912,,2,[기획] D10-본사관리,,,HQ-11-01,비교 기준 설정,,,,,,HQ-11-01
913,,2,[기획] D10-본사관리,,,HQ-11-02,분석 실행,,,,,,HQ-11-02
914,,2,[기획] D10-본사관리,,,HQ-11-03,비교 막대 차트,,,,,,HQ-11-03
915,,2,[기획] D10-본사관리,,,HQ-11-04,백분위 표시,,,,,,HQ-11-04
916,,2,[기획] D10-본사관리,,,HQ-11-05,인사이트 요약,,,,,,HQ-11-05
917,,2,[기획] D10-본사관리,,,HQ-11-06,내보내기,,,,,,HQ-11-06
918,,1,[기획] D10-본사관리,,,HQ-13,NPS 설문,,,,,,HQ-13
919,,2,[기획] D10-본사관리,,,HQ-13-01,NPS 요약 카드,,,,,,HQ-13-01
920,,2,[기획] D10-본사관리,,,HQ-13-02,NPS 추이 차트,,,,,,HQ-13-02
921,,2,[기획] D10-본사관리,,,HQ-13-03,응답 분포,,,,,,HQ-13-03
922,,2,[기획] D10-본사관리,,,HQ-13-04,응답 목록,,,,,,HQ-13-04
923,,2,[기획] D10-본사관리,,,HQ-13-05,키워드 분석,,,,,,HQ-13-05
924,,2,[기획] D10-본사관리,,,HQ-13-06,기간 필터,,,,,,HQ-13-06
925,,2,[기획] D10-본사관리,,,HQ-13-07,설문 발송 관리,,,,,,HQ-13-07
926,,2,[기획] D10-본사관리,,,HQ-13-08,내보내기,,,,,,HQ-13-08
927,,1,[기획] D03-매출관리,,,SAL-07,매출 예측 (목표 대비 달성률 + 차트),,,,,,SAL-07
928,,2,[기획] D03-매출관리,,,SAL-07-01,요약 지표 카드,,,,,,SAL-07-01
929,,2,[기획] D03-매출관리,,,SAL-07-02,예측 기간 선택,,,,,,SAL-07-02
930,,2,[기획] D03-매출관리,,,SAL-07-03,매출 목표 설정,,,,,,SAL-07-03
931,,2,[기획] D03-매출관리,,,SAL-07-04,매출 예측 차트,,,,,,SAL-07-04
932,,2,[기획] D03-매출관리,,,SAL-07-05,달성률 게이지,,,,,,SAL-07-05
933,,2,[기획] D03-매출관리,,,SAL-07-06,상품별 예측 기여도,,,,,,SAL-07-06
934,,2,[기획] D03-매출관리,,,SAL-07-07,월별 예측 테이블,,,,,,SAL-07-07
935,,2,[기획] D03-매출관리,,,SAL-07-08,데이터 부족 처리,,,,,,SAL-07-08
936,,1,[기획] D04-수업관리,,,CLS-15,수업 녹화 관리 (영상 업로드 + 회원 공유),,,,,,CLS-15
937,,2,[기획] D04-수업관리,,,CLS-15-01,녹화 파일 목록,,,,,,CLS-15-01
938,,2,[기획] D04-수업관리,,,CLS-15-02,파일 업로드,,,,,,CLS-15-02
939,,2,[기획] D04-수업관리,,,CLS-15-03,공유 설정,,,,,,CLS-15-03
940,,2,[기획] D04-수업관리,,,CLS-15-04,미리보기,,,,,,CLS-15-04
941,,2,[기획] D04-수업관리,,,CLS-15-05,다운로드,,,,,,CLS-15-05
942,,2,[기획] D04-수업관리,,,CLS-15-06,파일 삭제,,,,,,CLS-15-06
943,,2,[기획] D04-수업관리,,,CLS-15-07,자동 만료,,,,,,CLS-15-07
944,,2,[기획] D04-수업관리,,,CLS-15-08,회원앱 연동,,,,,,CLS-15-08
945,,1,[기획] D05-상품관리,,,PRD-05,상품 카탈로그 (회원 상담 + 인쇄·공유),,,,,,PRD-05
946,,2,[기획] D05-상품관리,,,PRD-05-01,카탈로그 뷰,,,,,,PRD-05-01
947,,2,[기획] D05-상품관리,,,PRD-05-02,필터 바,,,,,,PRD-05-02
948,,2,[기획] D05-상품관리,,,PRD-05-03,카탈로그 미리보기,,,,,,PRD-05-03
949,,2,[기획] D05-상품관리,,,PRD-05-04,카탈로그 설정,,,,,,PRD-05-04
950,,2,[기획] D05-상품관리,,,PRD-05-05,카탈로그 편집,,,,,,PRD-05-05
951,,2,[기획] D05-상품관리,,,PRD-05-06,인쇄,,,,,,PRD-05-06
952,,2,[기획] D05-상품관리,,,PRD-05-07,공유,,,,,,PRD-05-07
953,,2,[기획] D05-상품관리,,,PRD-05-08,회원앱 동기화,,,,,,PRD-05-08
954,,1,[기획] D05-상품관리,,,PRD-06,상품 비교 (최대 3개 나란히 비교),,,,,,PRD-06
955,,2,[기획] D05-상품관리,,,PRD-06-01,상품 선택,,,,,,PRD-06-01
956,,2,[기획] D05-상품관리,,,PRD-06-02,비교 테이블,,,,,,PRD-06-02
957,,2,[기획] D05-상품관리,,,PRD-06-03,강조 표시,,,,,,PRD-06-03
958,,2,[기획] D05-상품관리,,,PRD-06-04,시뮬레이션,,,,,,PRD-06-04
959,,2,[기획] D05-상품관리,,,PRD-06-05,상품 교체,,,,,,PRD-06-05
960,,2,[기획] D05-상품관리,,,PRD-06-06,상품 삭제,,,,,,PRD-06-06
961,,2,[기획] D05-상품관리,,,PRD-06-07,결제 점프,,,,,,PRD-06-07
962,,2,[기획] D05-상품관리,,,PRD-06-08,공유,,,,,,PRD-06-08
963,,1,[기획] D05-상품관리,,,PRD-07,재고 관리 (실물 상품 입출고 + 재고 조정),,,,,,PRD-07
964,,2,[기획] D05-상품관리,,,PRD-07-01,통계 카드,,,,,,PRD-07-01
965,,2,[기획] D05-상품관리,,,PRD-07-02,필터 / 검색,,,,,,PRD-07-02
966,,2,[기획] D05-상품관리,,,PRD-07-03,재고 현황 테이블,,,,,,PRD-07-03
967,,2,[기획] D05-상품관리,,,PRD-07-04,입고 등록,,,,,,PRD-07-04
968,,2,[기획] D05-상품관리,,,PRD-07-05,출고 등록,,,,,,PRD-07-05
969,,2,[기획] D05-상품관리,,,PRD-07-06,재고 조정,,,,,,PRD-07-06
970,,2,[기획] D05-상품관리,,,PRD-07-07,입출고 이력,,,,,,PRD-07-07
971,,2,[기획] D05-상품관리,,,PRD-07-08,부족 알림,,,,,,PRD-07-08
972,,2,[기획] D05-상품관리,,,PRD-07-09,POS 자동 차감,,,,,,PRD-07-09
973,,1,[기획] D06-시설관리,,,FAC-EXT-02,장비 점검 일정 (정기 점검 + 수리 이력),,,,,,FAC-EXT-02
974,,2,[기획] D06-시설관리,,,FAC-EXT-02-01,현황 요약,,,,,,FAC-EXT-02-01
975,,2,[기획] D06-시설관리,,,FAC-EXT-02-02,장비 목록,,,,,,FAC-EXT-02-02
976,,2,[기획] D06-시설관리,,,FAC-EXT-02-03,장비 등록,,,,,,FAC-EXT-02-03
977,,2,[기획] D06-시설관리,,,FAC-EXT-02-04,점검 등록,,,,,,FAC-EXT-02-04
978,,2,[기획] D06-시설관리,,,FAC-EXT-02-05,수리 접수,,,,,,FAC-EXT-02-05
979,,2,[기획] D06-시설관리,,,FAC-EXT-02-06,자동 알림,,,,,,FAC-EXT-02-06
980,,2,[기획] D06-시설관리,,,FAC-EXT-02-07,점검 이력,,,,,,FAC-EXT-02-07
981,,1,[기획] D06-시설관리,,,FAC-EXT-03,소모품 재고 관리 (입출고 + 발주),,,,,,FAC-EXT-03
982,,2,[기획] D06-시설관리,,,FAC-EXT-03-01,현황 요약,,,,,,FAC-EXT-03-01
983,,2,[기획] D06-시설관리,,,FAC-EXT-03-02,재고 부족 알림,,,,,,FAC-EXT-03-02
984,,2,[기획] D06-시설관리,,,FAC-EXT-03-03,소모품 목록,,,,,,FAC-EXT-03-03
985,,2,[기획] D06-시설관리,,,FAC-EXT-03-04,소모품 등록,,,,,,FAC-EXT-03-04
986,,2,[기획] D06-시설관리,,,FAC-EXT-03-05,입출고 처리,,,,,,FAC-EXT-03-05
987,,2,[기획] D06-시설관리,,,FAC-EXT-03-06,발주 생성,,,,,,FAC-EXT-03-06
988,,2,[기획] D06-시설관리,,,FAC-EXT-03-07,자동 알림,,,,,,FAC-EXT-03-07
989,,1,[기획] D06-시설관리,,,FAC-EXT-04,청소 스케줄 (구역별 담당 + 완료 체크),,,,,,FAC-EXT-04
990,,2,[기획] D06-시설관리,,,FAC-EXT-04-01,오늘 현황,,,,,,FAC-EXT-04-01
991,,2,[기획] D06-시설관리,,,FAC-EXT-04-02,체크리스트,,,,,,FAC-EXT-04-02
992,,2,[기획] D06-시설관리,,,FAC-EXT-04-03,정기 일정,,,,,,FAC-EXT-04-03
993,,2,[기획] D06-시설관리,,,FAC-EXT-04-04,스케줄 등록,,,,,,FAC-EXT-04-04
994,,2,[기획] D06-시설관리,,,FAC-EXT-04-05,완료 처리,,,,,,FAC-EXT-04-05
995,,2,[기획] D06-시설관리,,,FAC-EXT-04-06,이력 조회,,,,,,FAC-EXT-04-06
996,,2,[기획] D06-시설관리,,,FAC-EXT-04-07,미지정 강조,,,,,,FAC-EXT-04-07
997,,1,[기획] D06-시설관리,,,FAC-EXT-05,공간 자산 관리 (룸·타석 통합 운영),,,,,,FAC-EXT-05
998,,2,[기획] D06-시설관리,,,FAC-EXT-05-01,자산 카드 그리드,,,,,,FAC-EXT-05-01
999,,2,[기획] D06-시설관리,,,FAC-EXT-05-02,상태 변경,,,,,,FAC-EXT-05-02
1000,,2,[기획] D06-시설관리,,,FAC-EXT-05-03,예약 현황,,,,,,FAC-EXT-05-03
1001,,2,[기획] D06-시설관리,,,FAC-EXT-05-04,자산 등록,,,,,,FAC-EXT-05-04
1002,,1,[기획] D08-마케팅,,,MKT-06,캠페인 관리 (메시지·쿠폰·이벤트 통합),,,,,,MKT-06
1003,,2,[기획] D08-마케팅,,,MKT-06-01,캠페인 목록,,,,,,MKT-06-01
1004,,2,[기획] D08-마케팅,,,MKT-06-02,캠페인 등록,,,,,,MKT-06-02
1005,,2,[기획] D08-마케팅,,,MKT-06-03,캠페인 수정,,,,,,MKT-06-03
1006,,2,[기획] D08-마케팅,,,MKT-06-04,실적 추적,,,,,,MKT-06-04
1007,,2,[기획] D08-마케팅,,,MKT-06-05,상태 필터,,,,,,MKT-06-05
1008,,2,[기획] D08-마케팅,,,MKT-06-06,캠페인 삭제,,,,,,MKT-06-06
1009,,2,[기획] D08-마케팅,,,MKT-06-07,캠페인 자동 실행,,,,,,MKT-06-07
1010,,1,[기획] D08-마케팅,,,MKT-07,리퍼럴 프로그램 (회원 추천 + 양방향 혜택),,,,,,MKT-07
1011,,2,[기획] D08-마케팅,,,MKT-07-01,이벤트 목록,,,,,,MKT-07-01
1012,,2,[기획] D08-마케팅,,,MKT-07-02,이벤트 등록,,,,,,MKT-07-02
1013,,2,[기획] D08-마케팅,,,MKT-07-03,실적 현황,,,,,,MKT-07-03
1014,,2,[기획] D08-마케팅,,,MKT-07-04,추천 이력,,,,,,MKT-07-04
1015,,2,[기획] D08-마케팅,,,MKT-07-05,이벤트 삭제,,,,,,MKT-07-05
1016,,2,[기획] D08-마케팅,,,MKT-07-06,자동 처리,,,,,,MKT-07-06
1017,,1,[기획] D08-마케팅,,,MKT-09,A/B 테스트 (메시지·쿠폰 비교 실험),,,,,,MKT-09
1018,,2,[기획] D08-마케팅,,,MKT-09-01,테스트 목록,,,,,,MKT-09-01
1019,,2,[기획] D08-마케팅,,,MKT-09-02,테스트 등록,,,,,,MKT-09-02
1020,,2,[기획] D08-마케팅,,,MKT-09-03,테스트 진행,,,,,,MKT-09-03
1021,,2,[기획] D08-마케팅,,,MKT-09-04,결과 비교,,,,,,MKT-09-04
1022,,2,[기획] D08-마케팅,,,MKT-09-05,승리 버전 채택,,,,,,MKT-09-05
1023,,2,[기획] D08-마케팅,,,MKT-09-06,테스트 삭제,,,,,,MKT-09-06
1024,,1,[기획] D09-설정관리,,,SET-05,다국어 설정 (시스템 언어·국가·자동 번역),,,,,,SET-05
1025,,2,[기획] D09-설정관리,,,SET-05-01,시스템 언어,,,,,,SET-05-01
1026,,2,[기획] D09-설정관리,,,SET-05-02,국가·지역,,,,,,SET-05-02
1027,,2,[기획] D09-설정관리,,,SET-05-03,자동 번역,,,,,,SET-05-03
1028,,2,[기획] D09-설정관리,,,SET-05-04,키오스크 미리보기,,,,,,SET-05-04
1029,,2,[기획] D09-설정관리,,,SET-05-05,저장,,,,,,SET-05-05
1030,,2,[기획] D09-설정관리,,,SET-05-06,화면별 번역 매핑,,,,,,SET-05-06
1031,,1,[기획] D10-본사관리,,,HQ-10,커스텀 대시보드 빌더,,,,,,HQ-10
1032,,2,[기획] D10-본사관리,,,HQ-10-01,위젯 라이브러리,,,,,,HQ-10-01
1033,,2,[기획] D10-본사관리,,,HQ-10-02,캔버스 배치,,,,,,HQ-10-02
1034,,2,[기획] D10-본사관리,,,HQ-10-03,위젯 개별 설정,,,,,,HQ-10-03
1035,,2,[기획] D10-본사관리,,,HQ-10-04,레이아웃 옵션,,,,,,HQ-10-04
1036,,2,[기획] D10-본사관리,,,HQ-10-05,레이아웃 저장,,,,,,HQ-10-05
1037,,2,[기획] D10-본사관리,,,HQ-10-06,레이아웃 불러오기,,,,,,HQ-10-06
1038,,2,[기획] D10-본사관리,,,HQ-10-07,기본값 초기화,,,,,,HQ-10-07
1039,,2,[기획] D10-본사관리,,,HQ-10-08,대시보드 반영,,,,,,HQ-10-08
1040,,1,[기획] D10-본사관리,,,HQ-13,NPS 설문,,,,,,HQ-13
1041,,2,[기획] D10-본사관리,,,HQ-13-01,NPS 요약 카드,,,,,,HQ-13-01
1042,,2,[기획] D10-본사관리,,,HQ-13-02,NPS 추이 차트,,,,,,HQ-13-02
1043,,2,[기획] D10-본사관리,,,HQ-13-03,응답 분포,,,,,,HQ-13-03
1044,,2,[기획] D10-본사관리,,,HQ-13-04,응답 목록,,,,,,HQ-13-04
1045,,2,[기획] D10-본사관리,,,HQ-13-05,키워드 분석,,,,,,HQ-13-05
1046,,2,[기획] D10-본사관리,,,HQ-13-06,기간 필터,,,,,,HQ-13-06
1047,,2,[기획] D10-본사관리,,,HQ-13-07,설문 발송 관리,,,,,,HQ-13-07
1048,,2,[기획] D10-본사관리,,,HQ-13-08,내보내기,,,,,,HQ-13-08
1049,,,,,,,,,,,,,
1050,,,,,,,,,,,,,
1051,,,,,,,,,,,,,
1052,,,,,,,,,,,,,
1053,,,,,,,,,,,,,
1054,,,,,,,,,,,,,
1055,,,,,,,,,,,,,
1056,,,,,,,,,,,,,
1057,,,,,,,,,,,,,
1058,,,,,,,,,,,,,
1059,,,,,,,,,,,,,
1060,,,,,,,,,,,,,
1061,,,,,,,,,,,,,
1062,,,,,,,,,,,,,
1063,,,,,,,,,,,,,
1064,,,,,,,,,,,,,
1065,,,,,,,,,,,,,
1066,,,,,,,,,,,,,
1067,,,,,,,,,,,,,
1068,,,,,,,,,,,,,
1069,,,,,,,,,,,,,
1070,,,,,,,,,,,,,
1071,,,,,,,,,,,,,
1072,,,,,,,,,,,,,
1073,,,,,,,,,,,,,
1074,,,,,,,,,,,,,
